id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3143719,Tue May 10 2016 14:49:36 GMT-0700 (PDT),10/05/2016,2016-05-10 21:49:36 UTC,Pacific Time (US & Canada),233819,nturbeville2023,,2016-05-10 21:50:17 UTC,2020-12-17 22:47:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3143719,https://inaturalist-open-data.s3.amazonaws.com/photos/3635494/medium.jpg,,,,3,0,false,3,"Tijuana, Tijuana, BC , MX",32.40461583,-116.9086386,435841,,,,435841,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
3333872,12/05/2016,12/05/2016,,Tijuana,15781,adrianaalvarez,Adriana Alvarez A.,2016-05-29 20:05:34 UTC,2023-02-21 07:10:19 UTC,research,CC-BY-NC-ND,http://conabio.inaturalist.org/observations/3333872,https://inaturalist-open-data.s3.amazonaws.com/photos/3849956/medium.jpg,,"Abeja, Valle de las Palmas, Baja California",Observada por Evelyn Chávez Polanco en los alrededores de UABC Valle de las Palmas,6,0,false,,"Tijuana, MX-BN, MX",32.434599,-116.676307,223,,,,223,,,false,,,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
3980639,2016/08/14 11:19 AM PDT,14/08/2016,2016-08-14 18:19:00 UTC,Pacific Time (US & Canada),15781,adrianaalvarez,Adriana Alvarez A.,2016-08-28 17:03:49 UTC,2022-12-24 03:51:37 UTC,research,CC-BY-NC-ND,http://conabio.inaturalist.org/observations/3980639,https://inaturalist-open-data.s3.amazonaws.com/photos/4696892/medium.jpg,,"Insecto, Valle de las Palmas, Baja California",Insecto observado por Antonio G. Hernández,4,0,false,,"ECITEC, Tijuana, México",32.4354452,-116.6754024,400,,,,400,,,false,,,Honey-tailed Striped Sweat Bee,Agapostemon melliventris,Agapostemon melliventris,Insecta,50087
7905057,Wed Sep 13 2017 09:38:23 GMT-0700 (PDT),13/09/2017,2017-09-13 16:38:23 UTC,Pacific Time (US & Canada),617192,acostakaren,,2017-09-13 18:38:12 UTC,2022-02-01 05:21:50 UTC,research,,https://www.inaturalist.org/observations/7905057,https://static.inaturalist.org/photos/10428967/medium.jpg,,,,3,0,false,3,"Calle 7, Tijuana, BC , MX",32.46241333,-116.862555,,,,,,,,false,,,Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
8573055,2017-09-29 11:42:34 AM PDT,29/09/2017,2017-09-29 18:42:34 UTC,Pacific Time (US & Canada),451673,johan10,Johan Chabadabadu,2017-10-27 05:45:42 UTC,2021-03-30 21:17:38 UTC,research,,https://www.inaturalist.org/observations/8573055,https://static.inaturalist.org/photos/11453615/medium.jpeg,,,,4,0,false,2,"Bulevar Alberto Limón Padilla, Baja California, México",32.53941468,-116.8600726,22014,,,,22014,,,false,gps,gps,Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
9911656,Sun Feb 18 2018 14:15:32 GMT-0800 (PST),18/02/2018,2018-02-18 22:15:32 UTC,Pacific Time (US & Canada),762639,michpc,,2018-02-18 22:16:14 UTC,2020-12-17 21:26:07 UTC,research,,https://www.inaturalist.org/observations/9911656,https://static.inaturalist.org/photos/13594955/medium.jpg,,,It was dead when i found it,3,0,false,3,"Avenida Universidad 2224, Tijuana, BC , MX",32.52545333,-116.9770133,5,,,,5,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
10071130,2018-03-03 11:12:56 AM PST,03/03/2018,2018-03-03 19:12:56 UTC,Pacific Time (US & Canada),779882,ggm,,2018-03-03 19:29:15 UTC,2020-12-17 22:33:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10071130,https://inaturalist-open-data.s3.amazonaws.com/photos/13866935/medium.jpeg,,,,4,0,false,2,"Parque Azteca Nte 1591, Playas, Rivera, Tijuana, B.C., México",32.52015167,-117.1230217,7,,,,7,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
10071616,2018-03-02 10:08:52 PM PST,02/03/2018,2018-03-03 06:08:52 UTC,Pacific Time (US & Canada),768501,marlenesilva,,2018-03-03 19:54:42 UTC,2020-12-17 22:33:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10071616,https://inaturalist-open-data.s3.amazonaws.com/photos/13867855/medium.jpeg,,,,4,0,false,2,"Peñón 3271, Playas, Costa Hermosa, 22506 Tijuana, B.C., Mexico",32.50589888,-117.1166899,344,,,,344,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
10077919,2018-03-03 11:17:35 AM PST,03/03/2018,2018-03-03 19:17:35 UTC,Pacific Time (US & Canada),744581,colibriazul,,2018-03-04 02:07:21 UTC,2020-12-17 22:32:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10077919,https://inaturalist-open-data.s3.amazonaws.com/photos/13893819/medium.jpeg,,,insecto abeja ,4,0,false,2,"Tijuana, MX-BN, MX",32.52030762,-117.1228391,9,,,,9,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
14950081,2018-07-20 11:38:59 AM PDT,20/07/2018,2018-07-20 18:38:59 UTC,Pacific Time (US & Canada),1082794,aperez-95,,2018-07-30 16:07:55 UTC,2022-02-01 05:30:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14950081,https://inaturalist-open-data.s3.amazonaws.com/photos/22301450/medium.jpg,,,A couple of bees were together at one spot in an ice cream shop. Probably lured by the sugar.,3,0,false,2,"Calle Puebla 3079, Fraccionamiento, México, 22056 Tijuana, B.C., Mexico",32.51452971,-117.0400565,16829,,,,16829,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
14986822,2018-07-31 7:40:41 AM PDT,31/07/2018,2018-07-31 14:40:41 UTC,Pacific Time (US & Canada),1082818,angelcastillo,angel castillo,2018-07-31 15:21:56 UTC,2020-12-18 02:42:46 UTC,research,,https://www.inaturalist.org/observations/14986822,https://static.inaturalist.org/photos/22356280/medium.jpeg,,,Taking some pollen out of my flowers,2,0,false,2,"Sinaloa 562, Las Torres, 22470 Tijuana, B.C., Mexico",32.5438385,-116.8991394,,,,,,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
16176652,Mon Sep 03 2018 11:41:36 GMT-0700 (PDT),03/09/2018,2018-09-03 18:41:36 UTC,Pacific Time (US & Canada),1176634,carlospr99,,2018-09-03 18:44:22 UTC,2022-02-01 05:31:24 UTC,research,,https://www.inaturalist.org/observations/16176652,https://static.inaturalist.org/photos/24258568/medium.jpg,,,,4,0,false,3,"Calle del Licenciado Verdad 8131, Tijuana, BC , MX",32.51117665,-117.0360485,65,,,,65,,,false,,,Abeja europea,Apis mellifera,Abeja melífera europea,Insecta,47219
20306386,Tue Feb 12 2019 12:20:35 GMT-0800 (PST),12/02/2019,2019-02-12 20:20:35 UTC,Pacific Time (US & Canada),1471945,renataizaguirre,,2019-02-12 20:21:09 UTC,2020-12-17 21:23:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20306386,https://inaturalist-open-data.s3.amazonaws.com/photos/31352114/medium.jpg,,,,3,0,false,3,"Boulevard Vialidad Alamar, Tijuana, BC , MX",32.51341684,-116.9582554,6,,,,6,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
21148108,Sun Mar 10 2019 16:26:38 GMT-0700 (PDT),10/03/2019,2019-03-10 23:26:38 UTC,Pacific Time (US & Canada),1509576,aylim,Aylim Llamas,2019-03-11 17:08:12 UTC,2020-12-17 22:28:06 UTC,research,,https://www.inaturalist.org/observations/21148108,https://static.inaturalist.org/photos/32692237/medium.jpg,,,,3,0,false,3,"Tijuana, MX-BN, MX",32.53906273,-116.9446466,165,,,,165,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
24534175,2019-05-04 9:33:13 a. m. GMT-07:00,04/05/2019,2019-05-04 16:33:13 UTC,Arizona,1668736,rosa_flores,,2019-05-04 20:02:55 UTC,2020-12-30 02:52:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/24534175,https://inaturalist-open-data.s3.amazonaws.com/photos/37936584/medium.jpg,,,Una especie con alas,3,1,false,2,"Real de Donceles, Real de San Francisco, Francisco Villa 2da Secc, Tijuana, B.C., México",32.48638916,-116.8583298,,,,,,,,false,gps,gps,Masked Bees,Hylaeus,Abejas de cara amarilla,Insecta,127812
25467544,Fri May 17 2019 10:55:03 GMT-0700 (GMT-7),17/05/2019,2019-05-17 17:55:03 UTC,Arizona,246499,sulavanderplank,Sula Vanderplank,2019-05-20 21:40:19 UTC,2022-09-19 16:42:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/25467544,https://static.inaturalist.org/photos/39731530/medium.jpg,,,,2,0,false,3,"22789, Tijuana, BC , MX",32.36936667,-116.6506283,5,,,,5,,,false,,,Halictus tripartitus,Halictus tripartitus,Halictus tripartitus,Insecta,309390
